"day","mod","dod","deaths","temp_min","temp_max","temp_mean","humidity","wind","NO","NO2","NOX","O3","CO","SO2","PM10","PM25"
2008-07-19,7,19,295,12.3,24.7,18.0541666666667,60.5416666666667,1.8,0.0183333333333333,0.01325,0.031375,0.0229166666666667,0.9875,0.00620833333333333,47.625,47.625
2008-07-20,7,20,268,14.1,20.9,17.2208333333333,61.6666666666667,2.72916666666667,0.00545833333333333,0.00475,0.0102083333333333,0.015875,0.275,0.000291666666666667,18.4166666666667,18.4166666666667
2008-07-21,7,21,269,10.8,24.3,16.9333333333333,49.625,2.18333333333333,NA,NA,NA,NA,NA,NA,40.3333333333333,40.3333333333333
2008-07-22,7,22,260,13.6,22.8,17.0166666666667,63.0833333333333,1.50416666666667,0.0228333333333333,0.0211666666666667,0.0439583333333333,0.0155,1.09166666666667,NA,51.3333333333333,51.3333333333333
2008-07-23,7,23,247,14.7,26,19.0125,56.9166666666667,1.50833333333333,0.01875,0.017625,0.036375,0.0261666666666667,1.11666666666667,NA,44.875,44.875
2008-07-24,7,24,269,13.7,25,18.5583333333333,64.75,1.39583333333333,0.02075,0.02225,0.0430416666666667,0.022625,1.38333333333333,NA,44.6666666666667,44.6666666666667
2008-07-25,7,25,266,14.3,24.2,17.6458333333333,70.75,1.57083333333333,0.0152916666666667,0.0185,0.0335833333333333,0.014125,1.07916666666667,0.00120833333333333,37.8333333333333,37.8333333333333
2008-07-26,7,26,253,12.4,20.9,15.9791666666667,70.2083333333333,1.70416666666667,0.013125,0.0169166666666667,0.0300416666666667,0.0159166666666667,1.05,NA,NA,NA
2008-07-27,7,27,237,12.6,23.5,17.05,66.75,1.27083333333333,0.0113333333333333,0.0171666666666667,0.028125,0.0275833333333333,0.966666666666667,NA,31.8333333333333,31.8333333333333
2008-07-28,7,28,250,12.2,25.1,18.2291666666667,62.7916666666667,1.0875,0.0284583333333333,0.026875,0.0552083333333333,0.0229583333333333,1.59166666666667,NA,42.5416666666667,42.5416666666667
2008-07-29,7,29,276,15.4,25.4,19.9416666666667,55.2083333333333,1.54583333333333,0.0135416666666667,0.0217916666666667,0.035375,0.0269583333333333,1.15833333333333,NA,NA,NA
2008-07-30,7,30,231,14,24.6,19.0708333333333,57,1.425,0.0155,0.02325,0.0385,0.026875,1.29583333333333,0.002,NA,NA
2008-07-31,7,31,265,14.5,25.5,19.2083333333333,58.4583333333333,1.4375,0.018625,0.0245833333333333,0.043,NA,NA,0.00129166666666667,44.25,44.25
2008-08-01,8,1,243,15.9,24.8,18.8833333333333,62,1.6375,NA,NA,NA,0.0219166666666667,1.00833333333333,NA,42.9583333333333,42.9583333333333
2008-08-02,8,2,226,14.7,23,17.3416666666667,67.9583333333333,2.03333333333333,NA,NA,NA,0.01525,0.754166666666667,NA,30.5833333333333,30.5833333333333
2008-08-03,8,3,248,13.8,21.6,16.5583333333333,77.5416666666667,1.57916666666667,NA,NA,NA,0.0133333333333333,0.708333333333333,NA,24.5833333333333,24.5833333333333
2008-08-04,8,4,237,14.3,24.7,18.15,66.625,1.94583333333333,NA,NA,NA,0.014875,0.75,0.00433333333333333,NA,NA
2008-08-05,8,5,270,13.2,24.1,17.6541666666667,66.75,1.86666666666667,0.0141666666666667,0.0195,0.0336666666666667,0.0203333333333333,0.616666666666667,NA,NA,NA
2008-08-06,8,6,248,13.1,22.6,16.775,76.3333333333333,1.40869565217391,0.01575,0.0228333333333333,0.0387083333333333,0.0131666666666667,0.941666666666667,0.00116666666666667,NA,NA
2008-08-07,8,7,233,13.4,24,16.6041666666667,75.5,1.38636363636364,NA,NA,NA,0.01425,1.10833333333333,0.000625,33.875,33.875
2008-08-08,8,8,263,13.3,23.4,17.1791666666667,71.5,1.14583333333333,0.028875,0.0312916666666667,0.0602916666666667,0.0190416666666667,1.64583333333333,0.000208333333333333,38.1666666666667,38.1666666666667
2008-08-09,8,9,256,12.1,24.9,18.3708333333333,61.125,1.64444444444444,0.0283333333333333,0.0203333333333333,0.04875,0.0224583333333333,1.09583333333333,0.002375,NA,NA
2008-08-10,8,10,262,13.5,25.3,18.9333333333333,58.9166666666667,1.52083333333333,0.01225,0.0174166666666667,0.0294583333333333,0.0222916666666667,0.6875,0.00370833333333333,NA,NA
2008-08-11,8,11,253,13.7,23.7,18.1166666666667,65.7916666666667,1.30833333333333,0.0262916666666667,0.0265,0.0526666666666667,0.0177916666666667,0.870833333333333,NA,34.7916666666667,34.7916666666667
2008-08-12,8,12,253,13,25,19.0625,59.8333333333333,1.8625,0.0244166666666667,0.0244583333333333,0.049,0.015375,0.875,4.16666666666667e-05,NA,NA
2008-08-13,8,13,255,13.7,24.3,18.0625,64.4583333333333,1.10416666666667,NA,NA,NA,0.0172083333333333,1.25,0.000541666666666667,33.7083333333333,33.7083333333333
2008-08-14,8,14,238,12.9,24.9,18.3166666666667,62.8333333333333,1.22916666666667,0.0247083333333333,0.033,0.057375,NA,NA,0.00183333333333333,43.6666666666667,43.6666666666667
2008-08-15,8,15,251,14.1,26.2,18.8916666666667,61.7083333333333,1.44166666666667,0.0205416666666667,0.0323333333333333,0.0527916666666667,0.0292083333333333,1.47916666666667,NA,NA,NA
2008-08-16,8,16,217,14.6,23.2,18.775,63.9583333333333,1.57083333333333,0.0115416666666667,0.024625,0.036375,0.0225833333333333,1.03333333333333,NA,39.1666666666667,39.1666666666667
2008-08-17,8,17,272,14.8,24.7,18.175,70.875,1.14583333333333,0.0104583333333333,0.0232916666666667,0.0335833333333333,0.032625,0.808333333333333,0.000708333333333333,31.5833333333333,31.5833333333333
2008-08-18,8,18,224,13.4,24.6,17.685,NA,1.04705882352941,NA,NA,NA,0.0310416666666667,1.475,0.00220833333333333,34.25,34.25
2008-08-19,8,19,283,15.1,22.8,17.575,75.0416666666667,0.923809523809524,0.033875,0.04125,0.0749166666666667,0.022625,2.17916666666667,NA,60.8333333333333,60.8333333333333
2008-08-20,8,20,246,14.2,25.3,18.5583333333333,66.4583333333333,1.3,NA,NA,NA,NA,NA,NA,NA,NA
2008-08-21,8,21,253,15.3,25.2,18.8583333333333,64.375,1.4125,0.0237916666666667,0.0249583333333333,0.0487916666666667,NA,NA,0.00395833333333333,37.875,37.875
2008-08-22,8,22,247,14.6,24.2,18.8416666666667,60.75,2.04166666666667,0.018875,0.0210833333333333,0.04,0.0139583333333333,1.0375,0.000166666666666667,NA,NA
2008-08-23,8,23,259,14.5,25.4,18.5333333333333,64.375,1.0952380952381,0.0265833333333333,0.0250833333333333,0.051625,0.02325,0.970833333333333,4.16666666666667e-05,34.125,34.125
2008-08-24,8,24,273,13.9,24.5,18.1208333333333,67.125,1.50416666666667,0.00958333333333333,0.019125,0.0284166666666667,0.03225,0.670833333333333,0.00241666666666667,37.5416666666667,37.5416666666667
2008-08-25,8,25,280,13.5,25.1,17.8208333333333,70.75,1.08333333333333,NA,NA,NA,0.0332083333333333,1.19166666666667,NA,NA,NA
