"text","created","longitude","latitude","tag"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 04:36 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 03:40:31,2.3412,48.8569,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 04:11 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 03:20:30,2.3412,48.8569,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 03:51 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 03:00:33,2.3412,48.8569,"#PorteOuverte"
"RT @trendinaliaFR: 1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 03:36 CET #trndnl https://t.co/iQIQ3‚Ä¶",2015-11-14 02:46:55,NA,NA,"#PorteOuverte"
"#PorteOuverte  #prayforparis Ì†ΩÌπèÌ†ºÌøª We need to learn to love one another ‚ù§Ô∏è @ Paris, France https://t.co/yXJVf1fTRi",2015-11-14 02:44:27,2.3508,48.8567,"#PorteOuverte"
"#porteouverte Ì†ΩÌ∑ºÌ†ºÌºéÌ†ºÌºèÌ†ºÌºç @ Paris, France https://t.co/GLVCcElNSR",2015-11-14 02:41:23,2.3508,48.8567,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 03:36 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 02:40:35,2.3412,48.8569,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 02:31:52,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 03:07 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 02:20:32,2.3412,48.8569,"#PorteOuverte"
"RT @allisonjoi: Use/Search #PorteOuverte If you are in #Paris &amp; need help or call these numbers. Such terrible,‚Ä¶ https://t.co/BhXe4zo2B7",2015-11-14 02:14:44,NA,NA,"#PorteOuverte"
"Use/Search #PorteOuverte If you are in #Paris &amp; need help or call these numbers. Such terrible,‚Ä¶ https://t.co/BhXe4zo2B7",2015-11-14 02:14:17,2.3508,48.8567,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 02:09:30,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #NousSommesUnis
5. Palestine

2015/11/14 02:57 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 02:00:38,2.3412,48.8569,"#PorteOuverte"
"If you're a foreigner stuck in #Paris please check Twitter hashtag #PorteOuverte for safe places to‚Ä¶ https://t.co/zImlIlFBam",2015-11-14 01:58:47,2.3508,48.8567,"#PorteOuverte"
"RT @alexia_i20: ""@6696420_: donc ok on est au milieu des 7 attentats dans une cave #PorteOuverte"" petit bunker posey",2015-11-14 01:47:52,NA,NA,"#PorteOuverte"
"We love France!! #paix #paris #parisjetaime #francia #france #instaparis #porteouverte #isis‚Ä¶ https://t.co/YzyjGceINf",2015-11-14 01:46:51,2.3508,48.8567,"#PorteOuverte"
"""@6696420_: donc ok on est au milieu des 7 attentats dans une cave #PorteOuverte"" petit bunker posey",2015-11-14 01:42:50,2.2827634,48.8529559,"#PorteOuverte"
"We love France!! #paix #paris #parisjetaime #francia #france #instaparis #porteouverte #isis‚Ä¶ https://t.co/YvAau5u523",2015-11-14 01:41:37,2.3508,48.8567,"#PorteOuverte"
"RT @3615_CH: En s√©curit√© chez moi. #PorteOuverte Je suis devant @itele mais personne ne parle des voitures avec les tireurs...",2015-11-14 01:41:07,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. Palestine
5. #NousSommesUnis

2015/11/14 02:32 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 01:40:31,2.3412,48.8569,"#PorteOuverte"
"En s√©curit√© chez moi. #PorteOuverte Je suis devant @itele mais personne ne parle des voitures avec les tireurs...",2015-11-14 01:40:30,2.35090245,48.86730337,"#PorteOuverte"
"#PrayForParis #porteouverte
 Je suis absolutement desole√© parce que milliards du gent innocent ont‚Ä¶ https://t.co/BS9FIMZzXd",2015-11-14 01:39:41,2.3508,48.8567,"#PorteOuverte"
"Pour vous r√©fugier sur Paris #PorteOuverte https://t.co/2IhsUTh72q",2015-11-14 01:26:39,2.37575753,48.88521983,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 01:24:51,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. Palestine
5. Que Dieu

2015/11/14 02:12 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 01:20:32,2.3412,48.8569,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 01:10:42,NA,NA,"#PorteOuverte"
"https://t.co/p8trmm0wyc #PrayForParis #fusillade #PorteOuverte #FRAALL Vendredi 13 @ Paris, France https://t.co/44UFRloJFp",2015-11-14 01:06:02,2.3508,48.8567,"#PorteOuverte"
"RT @fake_rebel: Si jamais quelqu‚Äôun a besoin, #porteouverte Metro Mara√Æchers (L‚Äôappart est vide car on a sign√© le bail il y a 1h, mais on e‚Ä¶",2015-11-14 01:02:27,NA,NA,"#PorteOuverte"
"1. #fusillade
2. #PorteOuverte
3. Japon
4. #FRAALL
5. Palestine

2015/11/14 01:52 CET #trndnl https://t.co/iQIQ3mQZoL",2015-11-14 01:00:33,2.3412,48.8569,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:57:05,NA,NA,"#PorteOuverte"
"RT @AmandineBebi: Si besoin #PorteOuverte Paris 19e Buttes Chaumont...",2015-11-14 00:56:52,NA,NA,"#PorteOuverte"
"RT @hiyadisoufiane1: #porteouverte  Eiffel st Charles 37 rue Saint Charles si Jamais vs avez besoin",2015-11-14 00:56:46,NA,NA,"#PorteOuverte"
